,MG.TO
name,Magna International Inc.
beta,1
Div_Beta,0.021986712
total_return,-0.20995617800000002
R_Beta,-0.20995617800000002
Price_Cap,3.102140889348126e-09
Outstanding_Cap,0.9999999824427375
one_pe,0.12966997500157387
currency,CAD
perc_change,-0.23194289
fiftyDayAverage,61.956112
trailingPE,7.7118855
forwardPE,8.681501
marketcap,20121587712
priceToBook,1.751108
price,62.42
sourceInterval,15
quoteType,EQUITY
avgchg200day,-3.747902
avgpctchg200day,-0.056642298
dividend yield,0.021986712
shares outstanding,322358016
dividend,0.49
